coach_name,total_decisions,go_rate,dqs,odr,dqs_rank,odr_rank,seasons,archetype,go_rate_rank
Joe Philbin,514,0.1381322957198443,0.008786801970407,0.6517509727626459,93,109,2012–2018,Conservative + Inaccurate,81
Bill Parcells,616,0.137987012987013,0.0088620359427648,0.6542207792207793,98,106,1999–2006,Conservative + Inaccurate,82
Dennis Erickson,248,0.1370967741935483,0.0110266321727696,0.5887096774193549,163,162,2003–2004,Conservative + Inaccurate,83
Bill Belichick,2985,0.1366834170854271,0.007900249354507,0.6740368509212731,48,69,2000–2023,Conservative + Accurate,84
Jay Gruden,623,0.1364365971107544,0.0083265456140087,0.6725521669341894,70,70,2014–2019,Conservative + Accurate,85
Jim Haslett,814,0.1363636363636363,0.0090230648377626,0.6609336609336609,108,91,2000–2008,Conservative + Inaccurate,86
John Harbaugh,2253,0.1362627607634265,0.0073205878994887,0.702618730581447,27,35,2008–2025,Conservative + Accurate,87
Mike Tice,441,0.1360544217687075,0.0087550571860454,0.6575963718820862,92,100,2001–2005,Conservative + Inaccurate,88
George Seifert,353,0.1359773371104816,0.0079573612621588,0.6997167138810199,51,38,1999–2001,Conservative + Accurate,89
Brad Childress,571,0.1348511383537653,0.0089593318455511,0.6427320490367776,103,119,2006–2010,Conservative + Inaccurate,90
Doug Marrone,818,0.1344743276283618,0.0091192921118114,0.6601466992665037,115,94,2013–2020,Conservative + Inaccurate,91
DeMeco Ryans,439,0.1343963553530751,0.0065179358761793,0.7357630979498861,13,9,2023–2025,Conservative + Accurate,92
Mike Zimmer,948,0.1329113924050632,0.0090087611710199,0.6571729957805907,106,101,2014–2021,Conservative + Inaccurate,93
Al Groh,128,0.1328125,0.010789952902377,0.640625,160,123,2000–2000,Conservative + Inaccurate,94
Jim Schwartz,610,0.1327868852459016,0.0092573901007549,0.6754098360655738,121,66,2009–2013,Conservative + Inaccurate,95
Jim Tomsula,144,0.1319444444444444,0.006328722687265,0.6597222222222222,12,96,2010–2015,Conservative + Accurate,96
Bill Cowher,1023,0.1309872922776148,0.0089346673983494,0.6656891495601173,102,81,1999–2006,Conservative + Inaccurate,97
Mike Mularkey,628,0.1305732484076433,0.0083534802947842,0.6560509554140127,74,102,2004–2017,Conservative + Accurate,98
Mike Smith,792,0.130050505050505,0.0081752988505506,0.6717171717171717,61,74,2008–2014,Conservative + Accurate,99
Mike Shanahan,1655,0.1293051359516616,0.0080161094179305,0.683987915407855,55,56,1999–2013,Conservative + Accurate,100
Mike Singletary,325,0.1292307692307692,0.0074914969809289,0.7046153846153846,32,33,2008–2010,Conservative + Accurate,101
Dennis Allen,658,0.1291793313069908,0.0077564500638882,0.6702127659574468,41,77,2012–2024,Conservative + Accurate,102
Adam Gase,620,0.1274193548387096,0.0077234200018227,0.6596774193548387,40,97,2016–2020,Conservative + Accurate,103
Jeff Fisher,2162,0.1271970397779833,0.0088532977088906,0.6581868640148011,96,99,1999–2016,Conservative + Inaccurate,104
Romeo Crennel,696,0.125,0.0103572066769878,0.6020114942528736,155,158,2005–2020,Conservative + Inaccurate,105
Ken Whisenhunt,1030,0.1233009708737864,0.0090054004692358,0.6300970873786408,105,137,2007–2015,Conservative + Inaccurate,106
Eric Mangini,578,0.1228373702422145,0.0098095872851976,0.610726643598616,142,154,2006–2010,Conservative + Inaccurate,107
Herm Edwards,979,0.1225740551583248,0.0094795988767644,0.6384065372829418,127,125,2001–2008,Conservative + Inaccurate,108
Pete Carroll,2001,0.1224387806096951,0.0083364414124536,0.6746626686656672,72,67,1999–2025,Conservative + Accurate,109
Leslie Frazier,411,0.121654501216545,0.0089115891136478,0.635036496350365,101,130,2010–2013,Conservative + Inaccurate,110
Dennis Green,700,0.1214285714285714,0.0079781637175595,0.6871428571428572,52,50,1999–2006,Conservative + Accurate,111
Jim Mora,816,0.1213235294117647,0.0090418957932968,0.6372549019607843,109,127,1999–2009,Conservative + Inaccurate,112
Wade Phillips,702,0.121082621082621,0.0098967357014497,0.6296296296296297,144,139,1999–2013,Conservative + Inaccurate,113
Gary Kubiak,1207,0.12013256006628,0.0082994780632098,0.6785418392709196,68,62,2006–2016,Conservative + Accurate,114
Chris Palmer,267,0.1198501872659176,0.0105256658227997,0.5655430711610487,157,165,1999–2000,Conservative + Inaccurate,115
Jason Garrett,1038,0.1194605009633911,0.0085152520706965,0.684971098265896,79,54,2010–2019,Conservative + Accurate,116
Chip Kelly,511,0.1193737769080234,0.0086901223398408,0.6829745596868885,88,57,2013–2016,Conservative + Inaccurate,117
Mike Tomlin,2290,0.1192139737991266,0.0087181349800682,0.6781659388646288,90,64,2007–2025,Conservative + Inaccurate,118
Mike Munchak,378,0.119047619047619,0.0081345270659021,0.6640211640211641,58,84,2011–2013,Conservative + Accurate,119
