game_state_key,field_pos_bin,ydstogo_bin,score_diff_bin,time_bin,wpa_fg,wpa_go,wpa_punt,n_total,wrong_call_rate,pct_actual_go,pct_actual_punt,pct_actual_fg,optimal_decision
own_territory|short_2_3|down_big|late_4th,own_territory,short_2_3,down_big,late_4th,,0.0010999226429754662,-0.002473448349408535,112,0.36607142857142855,0.6339285714285714,0.36607142857142855,0.0,go_for_it
own_territory|short_2_3|down_big|second_half,own_territory,short_2_3,down_big,second_half,,0.00821944236668058,-0.006158327650985512,300,0.92,0.08,0.92,0.0,go_for_it
own_territory|short_2_3|down_big|two_min_drill,own_territory,short_2_3,down_big,two_min_drill,,-0.00043163517002539544,,45,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.0,go_for_it
own_territory|short_2_3|down_close|4th_quarter,own_territory,short_2_3,down_close,4th_quarter,,,-0.041018680447623836,45,0.06666666666666667,0.06666666666666667,0.9333333333333333,0.0,punt
own_territory|short_2_3|down_close|early_game,own_territory,short_2_3,down_close,early_game,,,-0.023413069393301473,228,0.017543859649122806,0.017543859649122806,0.9824561403508771,0.0,punt
own_territory|short_2_3|down_close|late_4th,own_territory,short_2_3,down_close,late_4th,,,-0.07009123824536799,23,0.30434782608695654,0.30434782608695654,0.6956521739130435,0.0,punt
own_territory|short_2_3|down_close|second_half,own_territory,short_2_3,down_close,second_half,,,-0.009878236200782924,93,0.010752688172043012,0.010752688172043012,0.989247311827957,0.0,punt
own_territory|short_2_3|down_close|two_min_drill,own_territory,short_2_3,down_close,two_min_drill,,-0.027610744908452008,,20,0.0,1.0,0.0,0.0,go_for_it
own_territory|short_2_3|down_one_score|4th_quarter,own_territory,short_2_3,down_one_score,4th_quarter,,,-0.0026504324615487405,69,0.0,0.0,1.0,0.0,punt
own_territory|short_2_3|down_one_score|early_game,own_territory,short_2_3,down_one_score,early_game,,0.019036767578365272,-0.004704575097069361,455,0.9758241758241758,0.024175824175824177,0.9758241758241758,0.0,go_for_it
