coach_name,total_decisions,dqs,odr,go_rate,punt_rate,fg_rate,mean_wp,seasons,dqs_rank,odr_rank
Arthur Smith,349,0.007018581417292305,0.6962750716332379,0.166189111747851,0.5816618911174785,0.2521489971346705,0.40496699856355706,2021–2023,22,40
Aaron Glenn,137,0.007040985581445687,0.6788321167883211,0.291970802919708,0.5109489051094891,0.19708029197080293,0.26240539962241965,2025–2025,23,61
Brandon Staley,344,0.007140612636844671,0.7122093023255814,0.2238372093023256,0.5436046511627907,0.23255813953488372,0.5129480123678364,2021–2023,24,25
Dan Quinn,825,0.007229678251392851,0.7090909090909091,0.19393939393939394,0.5115151515151515,0.29454545454545455,0.49573458800552206,2015–2025,25,27
Frank Reich,606,0.00730564870437664,0.7128712871287128,0.20462046204620463,0.5429042904290429,0.2524752475247525,0.476793071003179,2018–2023,26,23
John Harbaugh,2253,0.007320587899488758,0.702618730581447,0.13626276076342655,0.5956502441189525,0.26808699511762096,0.5430769330939302,2008–2025,27,35
Antonio Pierce,202,0.007324700808637337,0.7178217821782178,0.17326732673267325,0.5693069306930693,0.25742574257425743,0.42706420420182617,2023–2024,28,22
Mike Vrabel,828,0.007383849323044529,0.7210144927536232,0.14251207729468598,0.642512077294686,0.21497584541062803,0.4915578647380971,2018–2025,29,18
Matt Rhule,281,0.007407391339162345,0.7046263345195729,0.24555160142348753,0.505338078291815,0.2491103202846975,0.43931696834844836,2020–2022,30,32
Sean McDermott,1041,0.007453521298034529,0.7185398655139289,0.1729106628242075,0.5619596541786743,0.26512968299711814,0.5359706696162602,2017–2025,31,21
Mike Singletary,325,0.00749149698092897,0.7046153846153846,0.12923076923076923,0.68,0.19076923076923077,0.46111827996603094,2008–2010,32,33
Mike McCarthy,2105,0.007505000976886588,0.7078384798099763,0.1496437054631829,0.5795724465558195,0.27078384798099764,0.5224914292957158,2006–2024,33,30
Todd Bowles,1046,0.007534577824745436,0.6912045889101338,0.1491395793499044,0.5994263862332696,0.251434034416826,0.4447111018572304,2011–2025,34,46
Matt Nagy,494,0.007648422156668974,0.6619433198380567,0.19635627530364372,0.5728744939271255,0.23076923076923078,0.48372163874102925,2018–2021,35,88
Zac Taylor,842,0.007656756880761009,0.6923990498812351,0.166270783847981,0.5771971496437055,0.25653206650831356,0.4532200272942398,2019–2025,36,44
Ron Rivera,1554,0.00768617327492813,0.7001287001287001,0.14285714285714285,0.6184041184041184,0.23873873873873874,0.4780368846886864,2011–2023,37,37
Mike Ditka,129,0.007687588411200407,0.6666666666666666,0.16279069767441862,0.6356589147286822,0.20155038759689922,0.3952399447860994,1999–1999,38,78
Jim Harbaugh,808,0.007722055160685931,0.7116336633663366,0.1150990099009901,0.5878712871287128,0.297029702970297,0.5653438981761889,2011–2025,39,26
Adam Gase,620,0.0077234200018227285,0.6596774193548387,0.12741935483870967,0.6935483870967742,0.17903225806451614,0.37681109136047203,2016–2020,40,97
Dennis Allen,658,0.00775645006388826,0.6702127659574468,0.12917933130699089,0.6352583586626139,0.23556231003039513,0.42639419592386396,2012–2024,41,77
Rob Chudzinski,139,0.007765816145568211,0.7122302158273381,0.20863309352517986,0.6187050359712231,0.17266187050359713,0.4097615136926585,2013–2013,42,24
Ben Johnson,140,0.007778579256186042,0.7428571428571429,0.2642857142857143,0.44285714285714284,0.29285714285714287,0.4845856327138921,2025–2025,43,6
Hue Jackson,445,0.0078047742146921135,0.6853932584269663,0.1393258426966292,0.6719101123595506,0.18876404494382024,0.35773904047441124,2011–2018,44,52
Doug Pederson,1001,0.007812810008216124,0.7082917082917083,0.21578421578421578,0.5454545454545454,0.23876123876123875,0.4714323843066486,2016–2024,45,29
Joe Judge,254,0.007813214025009374,0.6929133858267716,0.2047244094488189,0.5511811023622047,0.2440944881889764,0.38314624066511244,2020–2021,46,43
Scott Linehan,291,0.007846005159941598,0.6872852233676976,0.140893470790378,0.6116838487972509,0.24742268041237114,0.4265538765944835,2006–2008,47,49
Bill Belichick,2985,0.007900249354507012,0.6740368509212731,0.13668341708542714,0.6003350083752094,0.2629815745393635,0.5670940237384606,2000–2023,48,69
Bill Callahan,338,0.007907080950567911,0.6449704142011834,0.11834319526627218,0.636094674556213,0.2455621301775148,0.4476983626027864,2002–2019,49,116
Joe Vitt,152,0.007954947096655405,0.6907894736842105,0.14473684210526316,0.6513157894736842,0.20394736842105263,0.43611808863366414,2005–2012,50,47
